time_s,q0,q1,q2,q3,wx_rad_s,wy_rad_s,wz_rad_s,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,adcs_mode,pointing_error_arcsec
4.2,0.99978114,0.00209985,0.0207885,0.00104992,-5.75e-05,-7.61e-05,0.0010055,0.2433,2.3821,0.1254,Slewing,36.31
4.3,0.99977059,0.00214983,0.0212834,0.00107492,9.16e-05,-0.0001421,0.0009983,0.2491,2.4388,0.1285,Slewing,32.64
4.4,0.9997598,0.00219982,0.02177828,0.00109991,-0.0002466,-8.79e-05,0.0009955,0.255,2.4955,0.1316,Slewing,35.68
4.5,0.99974876,0.00224981,0.02227316,0.00112491,-3.66e-05,3.03e-05,0.0009957,0.2609,2.5522,0.1347,Slewing,53.52
4.6,0.99973747,0.0022998,0.02276803,0.0011499,8.06e-05,-7.09e-05,0.001001,0.2667,2.6089,0.1379,Slewing,12.52
4.7,0.99972593,0.00234978,0.02326291,0.00117489,0.0003311,5.32e-05,0.0010007,0.2726,2.6656,0.141,Slewing,49.48
4.8,0.99971414,0.00239978,0.02375777,0.00119988,3.81e-05,-0.0001385,0.0009741,0.2785,2.7224,0.1442,Slewing,0.26
4.9,0.99970211,0.00244976,0.02425262,0.00122488,9.87e-05,-0.0002413,0.0010091,0.2844,2.7791,0.1473,Slewing,4.69
5.0,0.99968983,0.00249975,0.02474748,0.00124987,-8.37e-05,0.0001361,0.0009943,0.2903,2.8358,0.1505,Fine Point,19.29
5.1,0.9996773,0.00254973,0.02524232,0.00127486,-6.91e-05,-0.0001002,0.0010188,0.2961,2.8925,0.1536,Fine Point,37.14
5.2,0.99966452,0.00259972,0.02573716,0.00129985,-0.0001601,-3.74e-05,0.0010004,0.302,2.9492,0.1568,Fine Point,19.22
5.3,0.99965149,0.0026497,0.026232,0.00132484,-1.06e-05,-0.0001154,0.0010216,0.3079,3.0059,0.1599,Fine Point,13.03
5.4,0.99963822,0.00269968,0.02672682,0.00134984,-5.49e-05,-5.05e-05,0.000999,0.3138,3.0626,0.1631,Fine Point,6.84
5.5,0.9996247,0.00274966,0.02722165,0.00137483,-0.0001458,-0.0001605,0.0010019,0.3197,3.1193,0.1663,Fine Point,20.42
5.6,0.99961092,0.00279964,0.02771646,0.00139982,-0.0001454,-0.0001222,0.001017,0.3256,3.176,0.1695,Fine Point,36.07
5.7,0.99959691,0.00284962,0.02821126,0.00142481,0.0001013,8.84e-05,0.0009973,0.3315,3.2327,0.1727,Fine Point,11.99
5.8,0.99958264,0.0028996,0.02870607,0.0014498,2.66e-05,8.67e-05,0.0010084,0.3375,3.2894,0.1759,Fine Point,70.2
5.9,0.99956812,0.00294958,0.02920085,0.00147479,-4.14e-05,2.93e-05,0.0009949,0.3434,3.3461,0.1791,Fine Point,57.51
6.0,0.99955336,0.00299956,0.02969565,0.00149978,-0.0001124,0.0002329,0.0010007,0.3493,3.4028,0.1823,Fine Point,14.87
6.1,0.99953835,0.00304954,0.03019042,0.00152477,1.67e-05,3.2e-05,0.0009975,0.3552,3.4595,0.1855,Fine Point,83.22
6.2,0.99952309,0.00309951,0.03068519,0.00154976,4.73e-05,8.37e-05,0.0010038,0.3611,3.5162,0.1888,Fine Point,32.16
6.3,0.99950758,0.00314949,0.03117995,0.00157475,-4.66e-05,-2.64e-05,0.0010036,0.3671,3.5729,0.192,Fine Point,68.38
6.4,0.99949183,0.00319946,0.03167471,0.00159974,-4.17e-05,4.11e-05,0.001003,0.373,3.6297,0.1952,Fine Point,14.08
6.5,0.99947583,0.00324944,0.03216947,0.00162472,0.000228,1.04e-05,0.0009964,0.3789,3.6864,0.1985,Fine Point,64.65
6.6,0.99945958,0.00329941,0.0326642,0.00164971,-3.24e-05,0.0001503,0.001003,0.3849,3.7431,0.2017,Fine Point,54.86
6.7,0.99944308,0.00334938,0.03315894,0.0016747,3.88e-05,3.98e-05,0.0009986,0.3908,3.7998,0.205,Fine Point,54.24
6.8,0.99942633,0.00339935,0.03365366,0.00169968,4.2e-06,6.18e-05,0.0009952,0.3968,3.8565,0.2082,Fine Point,62.87
6.9,0.99940933,0.00344934,0.03414837,0.00172467,-2.82e-05,-0.0001347,0.0010159,0.4027,3.9132,0.2115,Fine Point,49.16
7.0,0.99939209,0.00349931,0.03464309,0.00174965,-3.29e-05,9.88e-05,0.0009939,0.4087,3.9699,0.2148,Fine Point,11.58
7.1,0.9993746,0.00354927,0.03513778,0.00177464,0.0002734,-2.31e-05,0.0009854,0.4146,4.0266,0.2181,Fine Point,67.72
7.2,0.99935686,0.00359924,0.03563247,0.00179962,0.0001186,-9.9e-06,0.0009863,0.4206,4.0833,0.2213,Fine Point,15.64
7.3,0.99933887,0.00364921,0.03612716,0.0018246,8.6e-06,3.19e-05,0.0010043,0.4266,4.14,0.2246,Fine Point,18.49
7.4,0.99932064,0.00369918,0.03662183,0.00184959,0.0001224,-0.0001831,0.0009941,0.4325,4.1967,0.2279,Fine Point,0.46
7.5,0.99930215,0.00374914,0.03711649,0.00187457,2.95e-05,-1.56e-05,0.0009955,0.4385,4.2534,0.2312,Fine Point,25.84
7.6,0.99928342,0.00379911,0.03761115,0.00189955,-1.2e-06,0.0001385,0.0010085,0.4445,4.3101,0.2346,Fine Point,35.0
7.7,0.99926444,0.00384907,0.03810579,0.00192453,2.6e-05,2e-05,0.0009943,0.4505,4.3668,0.2379,Fine Point,6.82
7.8,0.99924522,0.00389903,0.03860043,0.00194952,0.0001183,2.18e-05,0.0010066,0.4564,4.4235,0.2412,Fine Point,15.77
7.9,0.99922574,0.00394899,0.03909506,0.0019745,-0.0001238,4.47e-05,0.0009855,0.4624,4.4802,0.2445,Fine Point,40.37
8.0,0.99920602,0.00399895,0.03958967,0.00199948,5.81e-05,-4.31e-05,0.0010055,0.4684,4.5369,0.2479,Fine Point,22.94
8.1,0.99918605,0.00404891,0.04008428,0.00202446,8.3e-06,0.0001028,0.0010065,0.4744,4.5936,0.2512,Fine Point,100.19
8.2,0.99916583,0.00409888,0.04057888,0.00204944,0.0001187,5.91e-05,0.0010101,0.4804,4.6503,0.2546,Fine Point,17.91
8.3,0.99914536,0.00414884,0.04107347,0.00207441,2.89e-05,0.000134,0.0010042,0.4864,4.707,0.2579,Fine Point,43.5
8.4,0.99912465,0.0041988,0.04156805,0.00209939,-6.34e-05,1.72e-05,0.000995,0.4924,4.7637,0.2613,Fine Point,30.77
8.5,0.99910368,0.00424875,0.04206261,0.00212437,-1.31e-05,2.19e-05,0.0009926,0.4984,4.8203,0.2646,Fine Point,16.97
8.6,0.99908247,0.00429871,0.04255717,0.00214935,8.57e-05,7.2e-05,0.0009853,0.5045,4.877,0.268,Slewing,41.54
8.7,0.99906101,0.00434866,0.04305172,0.00217433,1.57e-05,8.21e-05,0.0010098,0.5105,4.9337,0.2714,Slewing,74.13
8.8,0.99903931,0.00439861,0.04354626,0.00219931,0.0002078,-6.35e-05,0.0009888,0.5165,4.9904,0.2748,Slewing,29.9
8.9,0.99901735,0.00444856,0.04404078,0.00222429,1.31e-05,0.0001022,0.0009803,0.5225,5.0471,0.2782,Slewing,13.57
9.0,0.99899515,0.00449851,0.0445353,0.00224926,2.37e-05,0.0001108,0.0009983,0.5286,5.1038,0.2816,Slewing,1.98
9.1,0.9989727,0.00454846,0.0450298,0.00227424,-0.0001826,8.86e-05,0.0010001,0.5346,5.1605,0.285,Slewing,53.36
9.2,0.99895,0.00459842,0.0455243,0.00229921,3.95e-05,0.0002256,0.0010209,0.5406,5.2172,0.2884,Slewing,36.68
9.3,0.99892706,0.00464836,0.04601878,0.00232418,8.35e-05,-6.21e-05,0.0010296,0.5467,5.2739,0.2918,Slewing,42.24
9.4,0.99890386,0.00469831,0.04651325,0.00234915,-1.23e-05,-0.0001178,0.0009911,0.5527,5.3306,0.2952,Slewing,22.54
9.5,0.99888042,0.00474825,0.04700771,0.00237413,5.66e-05,-0.0001437,0.0010095,0.5588,5.3873,0.2986,Slewing,33.77
9.6,0.99885673,0.0047982,0.04750215,0.0023991,0.000145,8.34e-05,0.0009964,0.5648,5.444,0.3021,Slewing,47.86
9.7,0.99883279,0.00484814,0.0479966,0.00242407,1.88e-05,9.23e-05,0.0010025,0.5709,5.5007,0.3055,Slewing,184.77
9.8,0.99880861,0.00489808,0.04849102,0.00244904,0.000148,1.49e-05,0.0010058,0.5769,5.5574,0.309,Slewing,47.15
9.9,0.99878417,0.00494802,0.04898543,0.00247401,-0.0001196,-5.67e-05,0.001011,0.583,5.6141,0.3124,Slewing,8.24
10.0,0.99875949,0.00499797,0.04947984,0.00249898,0.0001004,0.0001192,0.0010081,0.5891,5.6708,0.3159,Fine Point,92.95
10.1,0.99873456,0.0050479,0.04997422,0.00252395,-0.0001091,-0.0001116,0.001014,0.5952,5.7275,0.3194,Fine Point,0.6
10.2,0.99870938,0.00509784,0.05046861,0.00254891,-0.0001148,0.0001014,0.0009918,0.6012,5.7841,0.3228,Fine Point,8.1
10.3,0.99868396,0.00514777,0.05096297,0.00257389,2.8e-06,-0.0001547,0.00099,0.6073,5.8408,0.3263,Fine Point,42.49
10.4,0.99865829,0.00519771,0.05145731,0.00259886,4.04e-05,0.0001465,0.0009934,0.6134,5.8975,0.3298,Fine Point,31.05
10.5,0.99863237,0.00524764,0.05195166,0.00262382,0.0001095,-4.97e-05,0.001008,0.6195,5.9542,0.3333,Fine Point,25.49
10.6,0.9986062,0.00529758,0.05244598,0.00264879,9.32e-05,3.13e-05,0.0009972,0.6256,6.0109,0.3368,Fine Point,3.12
10.7,0.99857978,0.00534751,0.0529403,0.00267375,-9.66e-05,0.0001076,0.0009964,0.6317,6.0676,0.3403,Fine Point,61.58
10.8,0.99855312,0.00539744,0.0534346,0.00269872,8.1e-06,-5.4e-05,0.0009937,0.6378,6.1243,0.3438,Fine Point,53.62
10.9,0.99852621,0.00544736,0.05392888,0.00272368,-9.69e-05,-0.0001317,0.0010003,0.6439,6.181,0.3473,Fine Point,101.21
11.0,0.99849905,0.00549729,0.05442316,0.00274864,-4.88e-05,-0.00016,0.0010006,0.65,6.2377,0.3509,Fine Point,43.85
11.1,0.99847164,0.00554721,0.05491743,0.00277361,9.48e-05,-7.08e-05,0.000997,0.6561,6.2943,0.3544,Fine Point,7.79
11.2,0.99844398,0.00559713,0.05541167,0.00279857,-7.65e-05,7.87e-05,0.0009812,0.6622,6.351,0.3579,Fine Point,0.86
11.3,0.99841608,0.00564706,0.0559059,0.00282353,-0.0001211,2.3e-05,0.0010098,0.6684,6.4077,0.3615,Fine Point,95.37
11.4,0.99838793,0.00569698,0.05640013,0.00284849,-9.15e-05,2.85e-05,0.0009929,0.6745,6.4644,0.365,Fine Point,68.11
11.5,0.99835953,0.0057469,0.05689434,0.00287346,0.0002052,-2.84e-05,0.0010078,0.6806,6.5211,0.3686,Fine Point,96.09
11.6,0.99833088,0.00579682,0.05738852,0.00289841,8.49e-05,5.19e-05,0.0010109,0.6868,6.5778,0.3722,Fine Point,113.62
11.7,0.99830199,0.00584673,0.0578827,0.00292337,5.31e-05,2.79e-05,0.0010043,0.6929,6.6345,0.3757,Fine Point,18.31
11.8,0.99827285,0.00589666,0.05837687,0.00294833,3.96e-05,5.48e-05,0.001002,0.699,6.6911,0.3793,Fine Point,3.18
11.9,0.99824346,0.00594657,0.05887102,0.00297328,-0.0001311,7.58e-05,0.0010103,0.7052,6.7478,0.3829,Fine Point,23.57
12.0,0.99821382,0.00599648,0.05936516,0.00299824,-0.0001434,7.87e-05,0.0010064,0.7113,6.8045,0.3865,Fine Point,4.36
12.1,0.99818393,0.00604639,0.05985928,0.00302319,0.0001782,2.48e-05,0.0010062,0.7175,6.8612,0.3901,Fine Point,52.13
12.2,0.9981538,0.0060963,0.06035339,0.00304815,-6.76e-05,0.0001128,0.0009902,0.7237,6.9179,0.3937,Fine Point,72.94
12.3,0.99812342,0.00614621,0.06084748,0.0030731,-0.0001475,1.29e-05,0.0009876,0.7298,6.9746,0.3973,Fine Point,11.88
12.4,0.99809279,0.00619612,0.06134155,0.00309805,-0.000125,3.38e-05,0.0010069,0.736,7.0313,0.4009,Fine Point,25.52
12.5,0.99806192,0.00624602,0.06183561,0.00312302,1.75e-05,-6.95e-05,0.0009943,0.7422,7.0879,0.4045,Fine Point,29.71
12.6,0.99803079,0.00629592,0.06232966,0.00314797,3.2e-05,-4.68e-05,0.0009946,0.7484,7.1446,0.4082,Fine Point,122.16
12.7,0.99799942,0.00634582,0.0628237,0.00317292,-4.35e-05,-4.02e-05,0.0009938,0.7545,7.2013,0.4118,Fine Point,6.98
12.8,0.9979678,0.00639573,0.06331772,0.00319787,7.09e-05,0.00014,0.0010147,0.7607,7.258,0.4154,Fine Point,50.13
12.9,0.99793594,0.00644563,0.06381171,0.00322281,2.64e-05,4.23e-05,0.0010131,0.7669,7.3147,0.4191,Fine Point,2.56
13.0,0.99790382,0.00649552,0.0643057,0.00324776,-8.95e-05,3.49e-05,0.0010044,0.7731,7.3713,0.4227,Fine Point,75.27
13.1,0.99787146,0.00654542,0.06479967,0.00327271,-0.0001398,-0.0002383,0.0010065,0.7793,7.428,0.4264,Fine Point,43.71
13.2,0.99783885,0.00659532,0.06529362,0.00329765,0.0001221,-1.9e-05,0.0010016,0.7855,7.4847,0.4301,Fine Point,7.77
13.3,0.99780599,0.00664521,0.06578756,0.0033226,0.0001553,-7.18e-05,0.0010217,0.7917,7.5414,0.4338,Fine Point,36.94
13.4,0.99777289,0.0066951,0.06628149,0.00334755,0.0001475,0.0002202,0.0009886,0.798,7.5981,0.4374,Fine Point,17.01
13.5,0.99773953,0.00674499,0.06677539,0.0033725,-5.04e-05,-6.69e-05,0.001021,0.8042,7.6547,0.4411,Fine Point,80.36
13.6,0.99770593,0.00679488,0.06726928,0.00339744,8.4e-06,-0.0003201,0.0009911,0.8104,7.7114,0.4448,Slewing,77.7
13.7,0.99767209,0.00684476,0.06776315,0.00342238,-3.04e-05,-0.000224,0.0009974,0.8166,7.7681,0.4485,Slewing,20.71
13.8,0.99763799,0.00689465,0.06825701,0.00344732,-2.84e-05,3.8e-06,0.0009978,0.8229,7.8248,0.4522,Slewing,22.42
13.9,0.99760365,0.00694453,0.06875085,0.00347226,0.000137,2.15e-05,0.0010017,0.8291,7.8815,0.456,Slewing,46.21
14.0,0.99756906,0.00699441,0.06924467,0.0034972,-6.32e-05,0.0001214,0.0010041,0.8353,7.9381,0.4597,Slewing,57.54
14.1,0.99753422,0.00704429,0.06973848,0.00352214,3.33e-05,-0.0001674,0.0010014,0.8416,7.9948,0.4634,Slewing,19.69
14.2,0.99749913,0.00709417,0.07023227,0.00354709,8.8e-05,-0.0001219,0.0010263,0.8478,8.0515,0.4672,Slewing,35.9
14.3,0.9974638,0.00714404,0.07072604,0.00357202,-9.15e-05,7.15e-05,0.0009905,0.8541,8.1082,0.4709,Slewing,36.14
14.4,0.99742822,0.00719392,0.07121979,0.00359696,0.0001392,5.11e-05,0.0009873,0.8604,8.1648,0.4746,Slewing,47.61
14.5,0.99739239,0.00724379,0.07171353,0.0036219,-8.88e-05,4.34e-05,0.0010092,0.8666,8.2215,0.4784,Slewing,3.52
14.6,0.99735631,0.00729366,0.07220725,0.00364683,-3.88e-05,0.0001015,0.0009935,0.8729,8.2782,0.4822,Slewing,13.04
14.7,0.99731999,0.00734353,0.07270095,0.00367176,0.0001253,-0.0001066,0.0009907,0.8792,8.3349,0.4859,Slewing,27.34
14.8,0.99728342,0.0073934,0.07319464,0.00369669,8.32e-05,0.0001383,0.0010129,0.8854,8.3915,0.4897,Slewing,48.39
14.9,0.9972466,0.00744326,0.0736883,0.00372164,-0.000163,9.75e-05,0.0009955,0.8917,8.4482,0.4935,Slewing,16.07
15.0,0.99720953,0.00749313,0.07418195,0.00374657,-9.8e-05,0.000282,0.0009911,0.898,8.5049,0.4973,Fine Point,7.16
15.1,0.99717222,0.00754299,0.07467558,0.00377149,0.000122,-5.45e-05,0.0009992,0.9043,8.5616,0.5011,Fine Point,4.05
15.2,0.99713466,0.00759285,0.07516919,0.00379642,-5.14e-05,-6.12e-05,0.0010051,0.9106,8.6182,0.5049,Fine Point,49.6
15.3,0.99709685,0.00764271,0.07566279,0.00382135,-0.0002021,-9.19e-05,0.0010059,0.9169,8.6749,0.5087,Fine Point,89.72
15.4,0.99705879,0.00769256,0.07615636,0.00384628,-2.85e-05,0.0001126,0.0010037,0.9232,8.7316,0.5125,Fine Point,38.04
15.5,0.99702049,0.00774241,0.07664992,0.00387121,-0.0001004,-5.96e-05,0.0009995,0.9295,8.7882,0.5164,Fine Point,35.58
15.6,0.99698194,0.00779227,0.07714345,0.00389614,1.48e-05,-5.59e-05,0.0009956,0.9358,8.8449,0.5202,Fine Point,68.0
15.7,0.99694314,0.00784212,0.07763698,0.00392106,-3.37e-05,-3.9e-05,0.0009958,0.9422,8.9016,0.524,Fine Point,35.57
15.8,0.9969041,0.00789197,0.07813047,0.00394598,9.35e-05,0.0001967,0.0009985,0.9485,8.9583,0.5279,Fine Point,9.48
15.9,0.9968648,0.00794182,0.07862395,0.0039709,1.08e-05,-0.0001161,0.0010133,0.9548,9.0149,0.5317,Fine Point,12.4
16.0,0.99682526,0.00799166,0.07911742,0.00399582,-7.39e-05,8.74e-05,0.0009929,0.9612,9.0716,0.5356,Fine Point,15.1
16.1,0.99678547,0.0080415,0.07961086,0.00402075,-0.000106,-0.0002489,0.001004,0.9675,9.1283,0.5395,Fine Point,43.95
16.2,0.99674544,0.00809135,0.08010428,0.00404567,-2e-06,-1.87e-05,0.0009992,0.9739,9.1849,0.5433,Fine Point,65.89
16.3,0.99670515,0.00814118,0.08059769,0.00407059,6.75e-05,8.83e-05,0.0009967,0.9802,9.2416,0.5472,Fine Point,44.07
16.4,0.99666462,0.00819101,0.08109106,0.00409551,8.95e-05,3.09e-05,0.0009837,0.9866,9.2983,0.5511,Fine Point,94.1
16.5,0.99662385,0.00824085,0.08158443,0.00412042,7.92e-05,2.5e-05,0.0009974,0.9929,9.3549,0.555,Fine Point,15.32
16.6,0.99658282,0.00829068,0.08207778,0.00414535,4.86e-05,0.000132,0.0010012,0.9993,9.4116,0.5589,Fine Point,67.28
16.7,0.99654155,0.00834051,0.0825711,0.00417026,4.39e-05,7.66e-05,0.0009922,1.0057,9.4683,0.5628,Fine Point,88.31
16.8,0.99650003,0.00839035,0.0830644,0.00419517,2.45e-05,-7.57e-05,0.000997,1.012,9.5249,0.5667,Fine Point,44.93
16.9,0.99645826,0.00844017,0.08355768,0.00422008,-9.09e-05,-2e-05,0.0010034,1.0184,9.5816,0.5707,Fine Point,21.31
17.0,0.99641625,0.00849,0.08405095,0.00424499,-3.41e-05,0.0001703,0.0009808,1.0248,9.6383,0.5746,Fine Point,59.15
17.1,0.99637399,0.00853982,0.08454419,0.00426991,3.64e-05,5.99e-05,0.0009811,1.0312,9.6949,0.5785,Fine Point,2.01
17.2,0.99633148,0.00858963,0.08503741,0.00429482,3.58e-05,-0.0001228,0.0009909,1.0376,9.7516,0.5825,Fine Point,114.66
17.3,0.99628872,0.00863946,0.08553061,0.00431973,8.96e-05,-0.00013,0.0009947,1.044,9.8083,0.5864,Fine Point,86.05
17.4,0.99624572,0.00868927,0.08602379,0.00434463,-0.0001932,0.0001105,0.0010039,1.0504,9.8649,0.5904,Fine Point,17.73
17.5,0.99620247,0.00873909,0.08651695,0.00436954,9.2e-05,1.01e-05,0.000998,1.0568,9.9216,0.5944,Fine Point,25.5
17.6,0.99615897,0.0087889,0.08701009,0.00439445,-0.0002768,0.0001057,0.0009738,1.0632,9.9783,0.5983,Fine Point,19.18
17.7,0.99611522,0.00883871,0.0875032,0.00441936,4e-05,7.53e-05,0.0009998,1.0696,10.0349,0.6023,Fine Point,25.11
17.8,0.99607123,0.00888852,0.0879963,0.00444426,0.0001063,0.0001114,0.0009967,1.0761,10.0916,0.6063,Fine Point,39.65
17.9,0.99602699,0.00893832,0.08848938,0.00446916,7.03e-05,0.0002728,0.0009849,1.0825,10.1482,0.6103,Fine Point,38.61
18.0,0.9959825,0.00898812,0.08898242,0.00449406,1.49e-05,1.26e-05,0.0009894,1.0889,10.2049,0.6143,Fine Point,5.25
18.1,0.99593777,0.00903792,0.08947545,0.00451897,8.5e-06,2.44e-05,0.0009928,1.0954,10.2616,0.6183,Fine Point,56.57
18.2,0.99589279,0.00908773,0.08996846,0.00454386,-0.0002146,4.22e-05,0.0010082,1.1018,10.3182,0.6223,Fine Point,11.38
18.3,0.99584756,0.00913752,0.09046144,0.00456876,4.5e-05,2.9e-06,0.0010097,1.1083,10.3749,0.6263,Fine Point,47.61
18.4,0.99580208,0.00918732,0.09095441,0.00459365,-5.69e-05,-3.49e-05,0.0009988,1.1147,10.4316,0.6304,Fine Point,10.7
18.5,0.99575636,0.0092371,0.09144736,0.00461856,0.000101,0.0001312,0.0009977,1.1212,10.4882,0.6344,Fine Point,64.87
18.6,0.99571039,0.0092869,0.09194027,0.00464345,-0.0001177,0.0001574,0.0010026,1.1277,10.5449,0.6385,Slewing,67.61
18.7,0.99566417,0.00933668,0.09243317,0.00466834,-3.76e-05,-1.2e-06,0.0010072,1.1341,10.6015,0.6425,Slewing,76.89
18.8,0.99561771,0.00938647,0.09292604,0.00469323,-0.000156,-2.86e-05,0.001006,1.1406,10.6582,0.6466,Slewing,6.83
18.9,0.995571,0.00943625,0.0934189,0.00471813,2e-07,-9.3e-06,0.0009965,1.1471,10.7148,0.6506,Slewing,112.22
19.0,0.99552404,0.00948604,0.09391173,0.00474302,0.0001714,-9.35e-05,0.0009847,1.1536,10.7715,0.6547,Slewing,12.24
